title	type	url_slug	venue	date	location	talk_url	description
Braid Dynamics for Experimental Flows	talk	dd2020	Dynamics Days	2020-11-05	Hartford, CT	 	Talk on the braid dynamics paper <https://arxiv.org/abs/1910.12779>
Koopman Analysis Tutorial	talk	koopmantutorialc3s2	Clarkson C3S2 Seminar	2019-11-29	Clarkson University	 	Two-part introduction into Koopman operator theory and modal decomposition
